Feature,Gain,Cover,Frequency
lymphoid,0.000545979431926271,0.000787557066662577,0.000711237553342817
ioniz,0.000545685336748294,0.000566003489043638,0.000711237553342817
undergo,0.000545385150841778,0.00220676267529695,0.000948316737790422
addict,0.000544136986543528,0.000670747247003154,0.000237079184447606
inherit,0.000544049541083804,0.000358083896342469,0.000711237553342817
total,0.000543969926560772,0.000492529332656894,0.00118539592223803
prior,0.000543594476651608,0.000400495345250065,0.000711237553342817
appear,0.000542996715150808,0.00191160550021223,0.000948316737790422
cluster,0.000542759611789865,0.000773005929475203,0.000711237553342817
trishcl,0.000541892118025239,0.000282483819180707,0.000237079184447606
knockout,0.00054143531338489,0.000533910520749373,0.000237079184447606
mds,0.000539690754710793,0.000704983457759396,0.000474158368895211
basal,0.000539404055417469,0.000332549245381137,0.000711237553342817
